IOCTL_KEYBOARD_INSERT_DATA	0xb0100
IOCTL_KEYBOARD_QUERY_ATTRIBUTES	0xb0000
IOCTL_KEYBOARD_QUERY_IME_STATUS	0xb1000
IOCTL_KEYBOARD_QUERY_INDICATORS	0xb0040
IOCTL_KEYBOARD_QUERY_INDICATOR_TRANSLATION	0xb0080
IOCTL_KEYBOARD_QUERY_TYPEMATIC	0xb0020
IOCTL_KEYBOARD_SET_IME_STATUS	0xb1004
IOCTL_KEYBOARD_SET_INDICATORS	0xb0008
IOCTL_KEYBOARD_SET_TYPEMATIC	0xb0004
IOCTL_KS_DISABLE_EVENT	0x2f000b
IOCTL_KS_ENABLE_EVENT	0x2f0007
IOCTL_KS_HANDSHAKE	0x2f001f
IOCTL_KS_METHOD	0x2f000f
IOCTL_KS_PROPERTY	0x2f0003
IOCTL_KS_READ_STREAM	0x2f4017
IOCTL_KS_RESET_STATE	0x2f001b
IOCTL_KS_WRITE_STREAM	0x2f8013
IOCTL_LMR_ARE_FILE_OBJECTS_ON_SAME_SERVER	0x1400f0
IOCTL_MINIPORT_PROCESS_SERVICE_IRP	0x4d038
IOCTL_MODEM_CHECK_FOR_MODEM	0x2b002c
IOCTL_MODEM_GET_DLE	0x2b0010
IOCTL_MODEM_GET_MESSAGE	0x2b0020
IOCTL_MODEM_GET_PASSTHROUGH	0x2b0004
IOCTL_MODEM_SEND_GET_MESSAGE	0x2b0024
IOCTL_MODEM_SEND_LOOPBACK_MESSAGE	0x2b0028
IOCTL_MODEM_SEND_MESSAGE	0x2b001c
IOCTL_MODEM_SET_DLE_MONITORING	0x2b000c
IOCTL_MODEM_SET_DLE_SHIELDING	0x2b0014
IOCTL_MODEM_SET_MIN_POWER	0x2b0030
IOCTL_MODEM_SET_PASSTHROUGH	0x2b0008
IOCTL_MODEM_STOP_WAVE_RECEIVE	0x2b0018
IOCTL_MODEM_WATCH_FOR_RESUME	0x2b0034
IOCTL_MOUNTDEV_LINK_CREATED	0x4dc010
IOCTL_MOUNTDEV_LINK_DELETED	0x4dc014
IOCTL_MOUNTDEV_QUERY_DEVICE_NAME	0x4d0008
IOCTL_MOUNTDEV_QUERY_STABLE_GUID	0x4d0018
IOCTL_MOUNTDEV_QUERY_SUGGESTED_LINK_NAME	0x4d000c
IOCTL_MOUNTDEV_QUERY_UNIQUE_ID	0x4d0000
IOCTL_MOUNTMGR_AUTO_DL_ASSIGNMENTS	0x6dc014
IOCTL_MOUNTMGR_BOOT_DL_ASSIGNMENT	0x6dc044
IOCTL_MOUNTMGR_CHANGE_NOTIFY	0x6d4020
IOCTL_MOUNTMGR_CHECK_UNPROCESSED_VOLUMES	0x6d4028
IOCTL_MOUNTMGR_CREATE_POINT	0x6dc000
IOCTL_MOUNTMGR_DELETE_POINTS	0x6dc004
IOCTL_MOUNTMGR_DELETE_POINTS_DBONLY	0x6dc00c
IOCTL_MOUNTMGR_KEEP_LINKS_WHEN_OFFLINE	0x6dc024
IOCTL_MOUNTMGR_NEXT_DRIVE_LETTER	0x6dc010
IOCTL_MOUNTMGR_QUERY_AUTO_MOUNT	0x6d003c
IOCTL_MOUNTMGR_QUERY_DOS_VOLUME_PATH	0x6d0030
IOCTL_MOUNTMGR_QUERY_DOS_VOLUME_PATHS	0x6d0034
IOCTL_MOUNTMGR_QUERY_POINTS	0x6d0008
IOCTL_MOUNTMGR_SCRUB_REGISTRY	0x6dc038
IOCTL_MOUNTMGR_SET_AUTO_MOUNT	0x6dc040
IOCTL_MOUNTMGR_TRACELOG_CACHE	0x6d4048
IOCTL_MOUNTMGR_VOLUME_ARRIVAL_NOTIFICATION	0x6d402c
IOCTL_MOUNTMGR_VOLUME_MOUNT_POINT_CREATED	0x6dc018
IOCTL_MOUNTMGR_VOLUME_MOUNT_POINT_DELETED	0x6dc01c
IOCTL_MOUSE_INSERT_DATA	0xf0004
IOCTL_MOUSE_QUERY_ATTRIBUTES	0xf0000
IOCTL_MPDSM_DEREGISTER	0x736dc008
IOCTL_MPDSM_REGISTER	0x736dc004
IOCTL_MPIO_PASS_THROUGH_PATH	0x4d03c
